Species,Spawning,RepGuild1,RepGuild2,AddInfos
Osphronemus goramy,"throughout the year, but peaking once",guarders,nesters,Adults make nests made of plant fibers instead of bubble nests as some publications have claimed (Ref. 127550). This error comes from a misidentification of a species according to Bhimachar et al. (1944).
Osteoglossum bicirrhosum,NA,bearers,external brooders,"The male carries eggs, larvae and early juveniles (alevinos) in his mouth (Ref. 1672), which lasts for nearly six weeks (Ref. 102836)."
Otocinclus affinis,NA,nonguarders,brood hiders,Assumed to be the same as <i>Corydoras</i> species.
Otothyris lophophanes,NA,nonguarders,brood hiders,NA
Oxycirrhites typus,NA,nonguarders,open water/substratum egg scatterers,"Distinct pairing (Ref. 52884).  Actual spawning lasts about 1-2 seconds while ascending a distance of less than 0.25 m (Ref. 26305). Courtship and spawning behavior is similar to that described for other species: 1) courtship commences just before or after sunset with spawning after sunset; 2) successive courtship and spawning by the male in social groups containing one or more females; 3) courtship and spawning at a site common to both male and female or at a site located within the female's home area; 4) pelagic spawning with a rapid but relatively short ascent into the water column by both male and female; 5) return of the male and female to resident corals afte spawning.
Monogamous mating is observed as both facultative and social (Ref. 52884)."
Pagothenia borchgrevinki,one clear seasonal peak per year,NA,NA,NA
Pagrus major,NA,nonguarders,NA,"Conflicting descriptions of the reproductive style of this species have been reported, e.g., Ref. 34228 describe this species as being a gonochorist (Ref. 28504).  After clarificatory analyses on the protogynous characteristics of this species, gonochorism is confirmed (Ref. 103751)."
Pantodon buchholzi,NA,nonguarders,open water/substratum egg scatterers,It lays 80 to 220 eggs (Ref. 13371).  The eggs have a diameter of about 1.5 mm (Ref. 41580).
Papyrocranus afer,NA,guarders,NA,NA
Parablennius incognitus,NA,guarders,nesters,"Oviparous, distinct pairing (Ref. 205)."
Parablennius yatabei,NA,guarders,nesters,"Oviparous, distinct pairing (Ref. 205)."
Parachaenichthys charcoti,NA,nonguarders,NA,NA
Paracheirodon axelrodi,NA,nonguarders,open water/substratum egg scatterers,NA
Paracheirodon innesi,NA,nonguarders,open water/substratum egg scatterers,NA
Parachromis managuensis,two seasonal peaks per year,guarders,NA,"Deposits up to 5,000 eggs on rocks and other hard substrates; both parents guard the eggs and resulting fry (Ref. 44091). Reported to deposit up to 10,496 eggs (Ref. 80549)."
Parajulis poecilepterus,one clear seasonal peak per year,guarders,nesters,      
Paralichthys olivaceus,NA,nonguarders,open water/substratum egg scatterers,Distinct pairing (Ref. 205).
Paranotothenia magellanica,NA,NA,NA,NA
Paraplagusia japonica,NA,nonguarders,open water/substratum egg scatterers,NA
Parapristipoma trilineatum,NA,nonguarders,open water/substratum egg scatterers,"Oviparous, distinct pairing during breeding (Ref. 205).  A couple ascends quickly to the surface and spawns (Ref. 34104)."
Parupeneus barberinoides,NA,nonguarders,open water/substratum egg scatterers,NA
Parupeneus multifasciatus,NA,nonguarders,open water/substratum egg scatterers,NA
Patagonotothen ramsayi,NA,NA,NA,NA
Pelvicachromis taeniatus,NA,guarders,nesters,"Spawns in caves. Eggs may be deposited in niches and crevices as well as below roots, pieces of bark and larger leaves (Ref. 89992).  "
Perca fluviatilis,one clear seasonal peak per year,nonguarders,open water/substratum egg scatterers,"During breeding, males arrive at the spawning area ahead of the females. One or two of these males chases a ripe female as soon as it arrives in the area (polyandry) (Ref. 6258). The queue of males maybe longer composed of about 15 to 25 individuals, but only two prod their snouts against the female's belly (Ref. 205). After rounds of curved course through the interlacing branches near the surface (Ref. 205), males fertilize the egg ribbon as the female lays them over weeds or other submerged objects (Ref. 6258).  Eggs grouped in long white ribbons (up to 1 m) are found over submerged objects (Ref. 41678).  Eggs hatch in about 8 to 16 days at normal temperatures (Ref. 6258).
Males mature at 2-3 years and females at 4 years. Spawning, in the Northern hemisphere, happens in spring in waters with temperatures between 7-8°C. Eggs are laid in sticky strings becoming fixed to
aquatic plants and rocks. Incubation lasts about 1- 8 days at 1- 3°. Egg size 2.0-2.5mm, larval length at hatching 5mm."
Percalates colonorum,NA,nonguarders,open water/substratum egg scatterers,Adults move downstream prior to spawning (Ref. 5259).
Petrochromis orthognathus,NA,bearers,external brooders,Eggs from the cleavage phase and larvae of up to 1.76 cm TL are mouthbrooded by female parents 9.3 to 10.7 cm SL in size (Ref. 86760).
Phenacogrammus interruptus,NA,nonguarders,open water/substratum egg scatterers,"In tank, after vigorous driving by the male, the female lays up to 300 eggs, sometimes more, which sink to the bottom. Eggs hatch after about 6 days (Ref. 7020).    "
Phoxinus phoxinus,one clear seasonal peak per year,nonguarders,open water/substratum egg scatterers,Males and females form school separately and arrive on the spawning site at differen times. Spawn over clean gravel areas in flowing water or on wave-washed shores of lakes. Deposit eggs in shallow water on sand or gravel bottom which hatch in 4-5 days at 18°C. Females lay sticky eggs deep into clean gravel (Ref. 59043).
Piaractus brachypomus,NA,nonguarders,brood hiders,Assuming standard charicid mode of reproduction. Replace ASAP.
Piaractus mesopotamicus,NA,nonguarders,brood hiders,Assuming standard characid reproduction. Replace ASAP.
Pimelodus maculatus,NA,NA,NA,NA
Planiliza haematocheilus,NA,nonguarders,open water/substratum egg scatterers,Juveniles spend their first year in freshwater then migrate to sea to breed (Ref. 59043).  Also Ref. 205.
Platichthys flesus,one clear seasonal peak per year,nonguarders,open water/substratum egg scatterers,"Spawns in the water column (Ref. 7471).  Produces 400,000 to 2,000,000 eggs for each female (Ref. 51442).      "
Platycephalus indicus,NA,nonguarders,NA,Also Ref. 103751.
Plecoglossus altivelis,once in a lifetime,nonguarders,open water/substratum egg scatterers,"During spawning some fish go up the river and some fish spawn on the river shoreline above pebbles. Spawns at night and excavates a 10cm (diameter or depth?) pit. Eggs are around 1 mm in size and adhere to the sand or pebbles for 14 to 20 days before hatching. This fish is semelparous and releases eggs many times over a short period each time releasing ~10,000 eggs. Sometimes females that want to spawn but cannot, save their strength, and go to a deep stagnant pool. These females wait until spring before going up the river with young fish. After hatching, the larvae are 6 mm and flow with the water current eating plankton. Juvenile fish will come again to the river in spring. These live in schools. When schools of <i>Plecoglossus altivelis</i> return to their river they guard their territory and eat food (Ref. 12218).
Reproductive mode varies between semelparity and iteroparity. Large females spawn once, while smaller females spawn twice during a two-week interval (Ref. 76896)."
Pleuronichthys cornutus,NA,nonguarders,open water/substratum egg scatterers,NA
Plotosus lineatus,NA,guarders,nesters,"The male in the spawning pair constructs the nest under rocks and other large pieces of debris (Ref. 240). After spawning, the female departs while the male guards the eggs."
Poecilia latipinna,NA,bearers,internal live bearers,"After 28 days gestation, this species produces 10 to 100 young."
Poecilia mexicana,NA,bearers,internal live bearers,28 days after fertilization female gives birth to 30-80 young. Sexual maturity is reached after 7-12 months (Ref. 2060).
Poecilia reticulata,no obvious seasonal peak,bearers,internal live bearers,Males are about half the size of females with colorful tail and caudal fin; the anal fin is transformed into a gonopodium for internal fertilization. Males are continuously chasing and mating females. Females can store sperms for later fertilization and may produce young every four weeks. Pregnant females are recognizable by black triangle between anal and pelvic fins. After a gestation period of four to six weeks females give birth to 20-40 live young. No parental care is exercised and parents may even prey on their young.
Pollachius virens,NA,nonguarders,open water/substratum egg scatterers,"Oviparous, sexes are separate (Ref. 205)."
Polyodon spathula,NA,nonguarders,open water/substratum egg scatterers,NA
Polypterus senegalus,one clear seasonal peak per year,nonguarders,open water/substratum egg scatterers,"In <i>Polypterus senegalus</i> courtship starts with a series of leaps from the surface by usually only one of the pair at a time, followed by a slow descent through the water; after a while the male stays very close to the female and at times the female will remain motionless in the water and the male will come up to her from behind and nudge her with sidewise movements of his head; the enlarged and swollen anal fin of the male is folded in a cup-like fashion and is used to brush the female (Ref. 42791). No nest is constructed, but the eggs are laid a few at a time throughout the thick vegetation (Ref. 42791). The larvae, which move about with the male parent in a dense school, are provided with accessory gills and appear very salamander-like (Ref. 42791)."
Porichthys notatus,one clear seasonal peak per year,guarders,nesters,Nests are cavities that are formed under rocks and eggs are deposited on the roof of the cavity. As few as 19 or as much as 789 eggs have been found attached in a nest. Eggs are guarded by the fasting male. Probably polygamous (Ref. 6885).
Prionace glauca,NA,bearers,internal live bearers,"Distinct pairing with embrace (Ref. 205).  Viviparous (Ref. 26281), placental (Ref. 50449); 4-63 young in a litter (Ref. 9997); 4-135 (usually 15-30) pups (Ref.58048), about 35-44 cm at birth.  Gestation period ranges from 9 to 12 months (Ref. 244).
Sexual dimorphism is evident in skin thickness of maturing and adult females (Ref. 49562). Females have thicker skin layer than males of the same size (Ref. 49562)."
Prochilodus lineatus,NA,guarders,nesters,Pairing is distinct during copulation (Ref. 205). Males may stay near the nest (Ref. 205).
Pseudanthias squamipinnis,one clear seasonal peak per year,nonguarders,open water/substratum egg scatterers,"Pelagic spawner. A monandric species (Ref. 55367).  Females are induced to change sex by removal of males from social groups (Ref. 38802). Sex-reversal is completed in 2-4 weeks after male removal in the area, or 170-280 days in an all female group (Ref. 34185, 34249, 34250).  Length at sex change = 5.0 cm TL (Ref. 55367).  Also Ref. 103751.
Successful males spawn nightly with successive females (Ref. 37816)."
Pseudoblennius percoides,NA,guarders,nesters,"Eggs are deposited in the peribranchial cavity of sea squirts (Ref. 34819, 41071)."
Pseudocarcharias kamoharai,NA,bearers,internal live bearers,"Exhibit ovoviparity (aplacental viviparity), with embryos feeding on other ova produced by the mother (oophagy) after the yolk sac is absorbed (Ref. 50449).  With 4 young in a litter, born at 40-43 cm (Ref. 11228)."
Pseudolabrus japonicus,NA,nonguarders,NA,Pelagic spawner.
Pseudomystus siamensis,NA,guarders,clutch tenders,The male guards the eggs.
Pseudopimelodus mangurus,NA,NA,NA,NA
Pseudopleuronectes americanus,NA,nonguarders,open water/substratum egg scatterers,NA
Pseudopleuronectes yokohamae,NA,nonguarders,open water/substratum egg scatterers,NA
Pseudorasbora parva,one clear seasonal peak per year,nonguarders,brood hiders,Nests under stones and the male cleans the cavity with its pearl organs. Eggs adhere to the ceiling of the cavity. The male leaves the nest before the eggs hatch.  Females spawn 3-4 times during a season (Ref. 59043).
Pteragogus flagellifer,NA,NA,NA,"Oviparous, distinct pairing during breeding (Ref. 205)."
Pterophyllum scalare,NA,guarders,clutch tenders,"Males court females during the breeding season. Both male and female guard the eggs which are attached to the surface of aquatic vegetation in a nest area (Ref. 46591). During the entire brooding cycle, bonding of the original pair of parents is maintained complete with defence of each partner against aggression or potential rivals (Ref. 46591)."
Pygocentrus nattereri,one clear seasonal peak per year,guarders,nesters,"Males and females appear externally alike (Refs. 2279 & 9245). In '<i>Serrasalmus</i> sp. aff. <i>nattereri<i/>', reported to occur in the Orinoco basin (Venezuela, Guyana), the males have more 'bull-like' heads, but are more slender than females (Ref. 1672). Eggs are laid on tree roots trailing in the water and are guarded; the reproductive success may vary strongly from year to year depending on how the savanna was flooded (Ref. 9078). The eggs are large, adhere to plants and are not attacked by the parents. They hatch in 9 to10 days (Ref. 7020)."
Racovitzia glacialis,NA,nonguarders,NA,NA
Raja asterias,NA,nonguarders,open water/substratum egg scatterers,"Oviparous, paired eggs are laid.  Embryos feed solely on yolk (Ref. 50449).  Spawning peak in summer to early autumn with 30 to more than 100 egg-cases per year depending on the size of the female (Ref. 3167). Distinct pairing with embrace.  Young may tend to follow large objects, such as their mother (Ref. 205)."
Raniceps raninus,NA,nonguarders,open water/substratum egg scatterers,"Oviparous, sexes are separate (Ref. 205)."
Rastrelliger brachysoma,NA,nonguarders,open water/substratum egg scatterers,      
Rhinelepis aspera,NA,NA,NA,Determinate spawner.  All eggs from a single female are laid in one batch (Ref. 51834).
Rhinogobius brunneus,NA,guarders,nesters,NA
Rhoadsia altipinna,NA,guarders,nesters,Male guards nest and cleans eggs.
Rocio octofasciata,NA,guarders,clutch tenders,Lays eggs on substrate. Parents incubate eggs and guard young.
Rhodeus ocellatus,NA,nonguarders,brood hiders,Female lays eggs inside mussels where they are fertilized by the male. Young remain in the bivalve until they can swim (Ref. 43281).
Rhyacichthys aspro,NA,guarders,nesters,NA
Rutilus rutilus,NA,nonguarders,open water/substratum egg scatterers,"Spawns in shoals among dense among dense submerged vegetation in backwaters or lakes, flooded meadows or in shallow, fast-flowing river habitats on plant or gravel bottom.  Eggs are sticky and hatch in about 12 days (Ref. 59043).  Pale yellow eggs are attached to vegetation and tree roots (Ref. 41678)."
Salminus brasiliensis,NA,nonguarders,open water/substratum egg scatterers,Pairing is distinct during copulation (Ref. 205).
Salmo salar,variable throughout range,nonguarders,brood hiders,"At the onset of sexual maturity this species is known to return from the ocean to the river where it was born, and even to its specific natal site (Refs. 7471, 51442). Lacustrine populations move to tributaries (Ref. 59043). Spawning migration into freshwater lasts from June to November. Spawns at 6-10°C (Ref. 89464) in gravel river areas far upstream with moderate to fast-flowing, well-oxygenated waters and a succession of riffles and pools (Refs. 6390, 59043). The female selects a site where the gravel is of the right size and of sufficient depth (0.1 to 0.3 m) (Refs. 7471, 51442) and water depth is around 0.5-3 m (Ref. 35387). The female digs a depression (""redd"") by turning on her side and flexing her body up and down, without touching the stones (Ref. 36794). This species spawns in pairs. The male guards and defends the female against other males (Ref. 59043). A female releases between 8,000-25,000 eggs during a spawning season (Ref. 7471, 88187); 500 to 2000 per kg (Ref. 51442). Fertilized eggs sink into the redd and are covered with a layer of gravel (0.1-0.3 m) usually by the male (Refs. 7471, 59043). Females are also observed to cover the eggs. Individual spawning is completed in 2-3 days (Ref. 7471) after a female digging several redds and spawning with several males. Period of spawning lasts for 1-2 weeks. Most males die after spawning, while 10-40% of females may survive and return to the sea in autumn or overwinter in rivers, feed one summer, and migrate again. They may spawn in the year following the first reproduction or may remain at sea for 18 months before returning once more to the river. Of the returning females, about 0.3-6 % spawn a second time and very few spawn a third or fourth time. In short rivers with presumably less exhaustive upstream migration, up to 34% of returning individuals spawn a second time; some individuals may spawn for up to six seasons (Ref. 59043). Eggs hatch in spring, usually after 70-160 days (Ref. 59043). Upon hatching, alevins (i.e. newly-hatched young up to 1 month) are negatively phototactic and move deeper into the gravel (Refs. 58137, 59043). As their yolk sac is absorbed, the fry emerge from the bottom and move to shallow riffles just downstream of their redd (Ref. 59043). Mortality of young individuals during the first months may range from 14-61 % (Ref. 89465). Parr (i.e. juveniles) may remain in freshwater environments for 1-7 years (depending on temperature and feeding conditions) but most stay for 2-3 years. Parr undergo morphological and physiological changes called smoltification which prepares them for life in the sea. At the southern end of their range, many reach a length of 12-15 cm, transform into smolts and are ready for migration in spring of the first year after hatching (Refs. 7471, 51442). At the northern end of the range they may take 5-6 years to reach smolt stage (Ref. 36794). Smolts move towards estuaries, the continental shelf and eventually the open ocean (Ref. 89462). The Atlantic salmon matures between 3-7 years (Ref. 41851). After 1-4 years at sea, it migrates back to the upper reaches of its natal river to spawn (Refs. 59043, 89461). It has an acute sense of smell and it is suggested that it imprints a sequence of odours while inhabiting rivers and during its smolt run. It presumably reverses this sequence to return to its natal site (Ref. 89461). Several studies have shown that smolt runs are strongly correlated to increasing water temperature and water flow during spring (Ref. 89461).
There is little evidence of natural spawning by land-locked populations of Atlantic salmon in Australia, and populations are maintained by stocking (Ref. 6390, 26519)."
Salmo trutta,one clear seasonal peak per year,nonguarders,brood hiders,"Female covers the eggs by restirring the sand and fine gravel (Ref. 9696). After hatching at 12 mm, larval brown trout remain in the gravel for 2-3 weeks until they are about 25 mm long, when they emerge to begin feeding in the water column. Brown trout are territorial and begin establishing territories as juveniles. Juvenile trout from lake populations move from their natal inlets to lakes during the first 2 years of life (Ref. 6390)."
Salvelinus alpinus,one clear seasonal peak per year,nonguarders,brood hiders,"Males are generally territorial but when females start showing spawning behavior, males pair up with females and lose interest in their territories. Spawning takes place at almost any time of the day. A female invades a males territory and finds a suitable spot for a redd. Once a spot has been selected, she starts digging. While the female is digging, the male courts her by circling around her and then gliding along her side and quivering. When the redd is completed, the pair release egg and sperm. The pair then swim forward out of the nest, often still ejecting sex products. This may be repeated up to 5 times before the female begins to cover the eggs. The female then digs at the edge of the pit, covering the eggs and beginning the next redd (Ref. 27547). Males often mate with more than one female, taking the second mate after the first has exhausted the eggs. Sometimes, a female will mate successively with two or more males (Ref. 28968, 28969). Several days are usually required for females to deposit all their eggs (Ref. 27547)."
Salvelinus fontinalis,one clear seasonal peak per year,nonguarders,brood hiders,"Courtship begins with a male attempting to drive a female toward suitable spawning gravel. A receptive female chooses a spot and digs a redd. While the female is digging, the male continues courtship activity, darting alongside the female and quivering, swimming over and under her and rubbing her with his fins; most of the time however, is spent driving off other males. When the redd is completed, the pair enter the nest and deposit eggs and milt. After spawning the female covers the eggs by sweeping small pebbles at the downstream edge of the redd upstream. Once the eggs are completely covered, she moves to the upstream end of the redd and begins digging a new redd (Ref. 27547)."
Salvelinus leucomaenis,NA,nonguarders,brood hiders,Distinct pairing (Ref. 205).
Salvelinus namaycush,variable throughout range,nonguarders,open water/substratum egg scatterers,"The spawning act occurs mostly at night, with peak activity between dusk and 9 or 10 pm (Ref. 28805, 28815). During the day the fish are more or less dispersed away from the spawning beds but return in considerable numbers in the late afternoon (Ref. 27547). Males reach spawning beds first and spend some time cleaning the rocks. Females arrive a few days later and are courted by the males. During and following courtship, the males attempt to spawn with the females. One or two males approach a female, press against her sides and quiver. The eggs fall into the crevices and the spawners disperse. The act is repeated until the female releases all her eggs (Ref. 1998, 27547). On occasion, as many as seven males and three females may engage in a mass spawning act (Ref. 28815). Spawning occurs annually in southern areas, every other year in Great Slave Lake, Northwest Terrritories, and only every other year in Great Bear and some other lakes of the arctic (Ref. 1153, 28802, 28860)."
Sander lucioperca,one clear seasonal peak per year,guarders,nesters,"The spawning places are over gravel in moving water (Ref. 205).  ""Males are territorial and excavate shallow depressions about 50 cm in diameter and 5-10 cm deep in sand or gravel, or among exposed plant roots on which eggs are deposited, usually in turbid water and at 1-3 m depth.  Spawn in pairs, at dawn or night.  The female remains over the nest while the male circles rapidly around, at about 1 meter from the nest. Then male takes a vertical orientation and both swim around swiftly, and eggs and sperm are released, The female leaves the nest after all eggs are released. The male defends the nest and fans the eggs with his pectorals. Females spawn once a year, laying all the eggs at one time (Ref. 88075). Feeding larvae are positively phototactic and feed on pelagic organisms after they leave the nest for open water"" (Ref. 59043)."
Sander vitreus,one clear seasonal peak per year,nonguarders,open water/substratum egg scatterers,"Spawning occurs in small groups (a larger female and two smaller males or two females and up to six males) that engage in chasing, circular swimming, and fin erection. The group then ascends to shallow water, females roll on their side, and eggs and sperm are released. Deposition of eggs usually occurs in a single night (Ref. 1998). Larvae pelagic (Ref. 7471)."
Sarcocheilichthys variegatus,NA,nonguarders,brood hiders,Deposits eggs in the mantle cavity or in the incurrent siphon of mussels.
Sardinella zunasi,NA,nonguarders,NA,NA
Satan eurystomus,NA,guarders,nesters,NA
Satanoperca acuticeps,NA,guarders,clutch tenders,"Deposit eggs in troughs, covered with a little sand. Female tends the clutch, male defends the territory. This corrects previous information from Ref. 2060."
Saurida undosquamis,NA,nonguarders,open water/substratum egg scatterers,NA
Scatophagus argus,one clear seasonal peak per year,guarders,nesters,Multiple spawner (Ref. 102820).
Schizodon nasutus,NA,guarders,nesters,Distinct pairs breed on densely grown weedy places (Ref. 205).
Scleromystax barbatus,NA,nonguarders,brood hiders,"In captivity, as the sperm are released the female sinks to the bottoms, resting on one of her pectoral fins while she starts fanning with the other pectoral fin. At this time, some eggs are released which fall into the pelvic fin basket and are apparently fertilized at that time."
Scleropages jardinii,NA,bearers,external brooders,"Fertilized eggs are carried in the mouth of the female. Eggs hatch in 1-2 weeks. Larvae, with their enlarged yolk sac, are kept in or close to the mouth for another 4 or 5 weeks. Young fish commence feeding, primarily on microcrustaceans, at a size of 2-3 cm, well before the yolk sac is entirely resorbed. Become independent  at a length of 3.5-4.0 cm."
Scorpaena porcus,NA,nonguarders,open water/substratum egg scatterers,NA
Sebastes inermis,one clear seasonal peak per year,bearers,internal live bearers,"Males established territories ranging from 12 to 70 sq. m; initiated courtship when females approached the territories; lateral display, rushing and turning movements were frequently observed during courtship. Mating pair formed about 30 min before copulation; the pair ascended to 1.5-2.0 m above bottom then males suddenly coiled around the body of females to copulate."
Scomber japonicus,variable throughout range,nonguarders,open water/substratum egg scatterers,"Spawning most often occurs at water temperatures of 15° to 20°C.  Spawn in several batches with 250 to 300 eggs per g of fish with the total number of eggs per female ranging from 100,000 to 400,000."
Scophthalmus maximus,NA,nonguarders,open water/substratum egg scatterers,"Spawning usually happens between the months of February and April in the Mediterranean and from May to July in the Atlantic. Sequenced spawning every 2-4 days. Eggs have a single fat drop. Larvae are initially symmetric but, at the end of the metamorphosis (day 40-50, 25 mm), the right eye moves to the left side, losing its initial bilateral symmetry. Egg size 0.9 - 1.2 mm, larval length at hatching 2.7-3.1 mm."
Scyliorhinus canicula,NA,nonguarders,open water/substratum egg scatterers,"Oviparous, laying paired eggs (one per oviduct) in shallow subtidal areas, although some egg cases have been found in the deeper part of intertidal zones (Ref. 244). Embryos feed solely on yolk (Ref. 50449). The egg cases are anchored to macroalgae, sea grass or sessile erect invertebrates such as poriferans, bryozoans and hydroids (Ref. 32804, 58137). The capsules have tendrils at each corner used for anchorage purposes. Egg capsule size varies according to locality and female size (Ref. 244) and ranges between 4.9-7.0 cm length and 1.5-3.0 cm width (Ref. 88837). Egg cases may be deposited throughout the year, peaking in June and July (Ref. 32804). Recent studies estimate fecundity of females from the northeast Atlantic to be at around 29-62 pups (Ref. 32804). Fully formed pups hatch after 5-11 months, depending on water temperature (Ref. 244, 32804). Newly hatched pups are about 8-10 cm in length (Ref. 78469).
"
Scyliorhinus torazame,NA,nonguarders,open water/substratum egg scatterers,"Oviparous, with only one egg laid per oviduct at a time (Ref. 244).  Embryos feed solely on yolk (Ref. 50449).  Size at hatching at least 8 cm (Ref. 244).
During courtship and prior to copulation, the male bites and wraps the female's pectoral fin, body, tail, and gills (Ref. 49562, 51119). Copulation is initiated when the male inserts one of its claspers into the female's cloaca. The whole mating episode lasts from 15 seconds to 4 minutes (Ref. 49562)."
Sebastes oblongus,NA,bearers,internal live bearers,NA
Sebastes schlegelii,NA,bearers,internal live bearers,Reported as ovoviviparous (Ref. 205).
Sebastiscus marmoratus,one clear seasonal peak per year,bearers,internal live bearers,The species is viviparous (Ref. 5475).      
Seriola quinqueradiata,NA,nonguarders,open water/substratum egg scatterers,NA
Serrapinnus notomelas,NA,nonguarders,open water/substratum egg scatterers,NA
Serrasalmus rhombeus,NA,nonguarders,NA,NA
Siganus fuscescens,NA,nonguarders,open water/substratum egg scatterers,"In Belau, ripe individuals form prespawning congregations of 30-60 individuals in shoal areas of inner reef flats; spawning occurs on the 4th or 5th day of the new moon; spawning sites are near reef edge. About 300,000 eggs/female at a single spawning. Individuals that spawn in consecutive yrs. & that 2+ yr. class fish could spawn more than once in a single season. Aug (Ref 1754) in Belau.  "
Sigmops gracilis,NA,nonguarders,open water/substratum egg scatterers,Also Ref. 103751.
Sillago japonica,NA,nonguarders,open water/substratum egg scatterers,NA
Silonia silondia,NA,nonguarders,open water/substratum egg scatterers,Distinct pairing (Ref. 205).
Silurus asotus,NA,nonguarders,open water/substratum egg scatterers,"Pairs manifest spawning embrace widely observed in other catfish species (Ref. 37360).
Details of reproductive behaviour from Katano, et al (1988): "" A male first energeticaly pursued a female with its head near to the female's belly (chasing) and then began to cling to the female's body from the side, bending its tail or head (clinging). Finally the male enfolded the female's body, with its anus near to the female's (enfolding). In some cases, 2-4 males pursued a single female and two males enfolded a female at the same time. Although no aggressive behaviour was evident between males, it was always the largest male that could almost frequently approach and enfold the female. The mating pair moved a long distance in a ditch, paddy field and/or creek, performing reproductive activities.""
The scattering of eggs may reduce the incidence of death of the young."
Silurus glanis,one clear seasonal peak per year,guarders,nesters,"Males defend small territories in the spawning sites and construct nests made of plant materials.  They dig shallow depressions or clean spawning substrate such as willow (<i>Salix</i>) and roots.  Males guard the nests until larvae emerge.  Spawns in pairs. Eggs hatch in 2-3 days.  Larvae live in the nest until yolk sac is absorbed for 2-4 (Ref. 59043).  Eggs are surrounded by a mucous and adherent wrapping. Incubation lasts about 50 hours at 24°C. Egg size 3 mm, larval length at hatching 8.5 mm (Ref. 26211)."
Solea senegalensis,NA,nonguarders,NA,NA
Sparus aurata,NA,nonguarders,open water/substratum egg scatterers,"Males become females at about 3 years of age (Ref. 2715, 28504). Protandric hermaphrodite species, maturing first as male (during the first or second year of age) and after the second or third year of age, as female. Spawning happens generally from October to December, with sequenced spawning during the whole period. Incubation lasts about 2 days at 16-1 7°C. Larval stages last about 50 days at 1 7.5°C or about 43
days at 20°C. Egg size 0.9-1.1 mm, larval length at hatching 2.5-3.0 mm.  Simultaneous hermaphroditism is suggested for this species (Ref. 103751)."
Sperata seenghala,NA,NA,NA,NA
Sphaeramia nematoptera,NA,bearers,external brooders,Are mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).
Sphyraena pinguis,NA,nonguarders,open water/substratum egg scatterers,NA
Steatocranus casuarius,NA,guarders,nesters,Produces 20-150 eggs.
Sternopygus macrurus,NA,nonguarders,open water/substratum egg scatterers,Eggs of 3 mm diameter are deposited among plants. Larvae hatch after 4 days and start feeding after 11 days.
Strongylura anastomella,NA,nonguarders,open water/substratum egg scatterers,NA
Stygichthys typhlops,NA,nonguarders,brood hiders,NA
Symphodus melops,NA,guarders,nesters,"Sex reversal sometimes observed. Seaweed nest built by male among rocks or in crevices (Ref. 4742).  Oviparous, distinct pairing during breeding (Ref. 205)."
Syngnathus schlegeli,NA,bearers,external brooders,Male carries the eggs in a brood pouch (Ref. 205).
Synodontis nigriventris,NA,guarders,clutch tenders,The parents tend their clutch more than they guard it.
Taeniacara candidi,NA,guarders,clutch tenders,"The male is very active sexually and it spawns with several females, even at the same time. Females care for the eggs and larvae. They even chew the fry loose from the egg case after a few days of development (Ref. 12251).  Female attaches the offspring at the ceiling of caves (Ref. 47893)."
Teleocichla proselytus,NA,guarders,nesters,NA
Tetragonopterus argenteus,NA,nonguarders,open water/substratum egg scatterers,Is being bred in Asia and Florida in ponds (Ref. 1672).
Tetrapturus angustirostris,variable throughout range,nonguarders,brood hiders,"Spawning is believed to occur mainly during the winter months, especially in warm offshore currents with surface temperature of about 25°C.     "
Thorichthys meeki,NA,guarders,clutch tenders,"Deposits eggs on open substrate such as stones (Ref. 6466), a piece of submerged wood, or a shallow depression excavated in the substrate; from 100 to 500 eggs are deposited and guarded by both parents; newly hatched young are transferred to shallow pits and the parents continue guarding them (Ref. 44091). "
Thunnus thynnus,variable throughout range,nonguarders,open water/substratum egg scatterers,"Oviparous batch spawner, with an inter-spawning interval of 1-2 days in the Mediterranean Sea (Ref. 88871). Females larger than 205 cm fork length are estimated to have a mean fecundity of 30-60 and 13-15 million eggs, in the western and eastern Atlantic respectively (Ref. 40805, Ref. 88871). Spawning occurs when sea surface temperatures are between 22.6-27.5 ºC and 22.5-25.5 ºC in the Gulf of Mexico and Mediterranean Sea respectively (88868). Spawning occurs between June and August in the Mediterranean Sea (Ref. 88868). Eggs are released directly to the water column and hatch after 2 days (Ref. 88823). At 24°C, embryo development lasts about 32 hours and larval stages about 30 days. Egg size 1.0 mm, larval length at hatching 2.8 mm.
Spawning grounds are mainly known from the Gulf of Mexico and the Mediterranean Sea, but the presence of mature individuals and larvae far from these areas (e.g. Bahamas and central North Atlantic Ocean) suggest that other spawning grounds may also be utilized (Ref. 88873, Ref. 88874, Ref. 88872). Appears to display homing behaviour with (western-tagged individuals migrating back to specific spawning sites either in the Gulf of Mexico or the Mediterranean Sea) (Ref. 88872, Ref. 88870). Fidelity to natal areas seem to occur once individuals reach maturity, i.e. after returning to either the western or eastern spawning grounds (Ref. 88868).

 "
Tilapia sparrmanii,NA,guarders,Nesters,A substrate spawner (Ref. 118638). Male spreads his milt over the cluster of eggs which are deposited on the bottom or even attached to the branches of aquatic weeds; parents guard the eggs; eggs and fry may be moved into the mouth to alternative sites during hatching operations but there is no evidence of actual mouth brooding (Ref. 13337).
